image_filename,best_choice,probability
image_0001.png,3,0.3499
image_0002.png,2,0.3508
image_0003.png,0,0.2091
image_0004.png,No valid choice,0.2026
image_0005.png,1,0.3159
image_0006.png,No valid choice,0.1412
image_0007.png,0,0.3845
image_0008.png,9,0.2505
image_0009.png,0,0.3098
image_0010.png,9,0.4578
image_0011.png,No valid choice,0.2223
image_0012.png,1,0.2898
image_0013.png,3,0.2162
image_0014.png,2,0.3591
image_0015.png,0,0.2236
image_0016.png,0,0.2063
image_0017.png,4,0.2426
image_0018.png,3,0.2229
image_0019.png,5,0.3687
image_0020.png,4,0.2379
image_0021.png,3,0.2388
image_0022.png,3,0.1779
image_0023.png,7,0.3875
image_0024.png,0,0.2625
image_0025.png,0,0.2207
image_0026.png,8,0.1849
image_0027.png,6,0.4421
image_0028.png,3,0.4409
image_0029.png,No valid choice,0.1959
image_0030.png,No valid choice,0.2303
image_0031.png,2,0.2812
image_0032.png,1,0.2876
image_0033.png,1,0.2266
image_0034.png,No valid choice,0.1764
image_0035.png,No valid choice,0.1704
image_0036.png,0,0.2764
image_0037.png,0,0.2690
image_0038.png,No valid choice,0.1946
image_0039.png,2,0.6670
image_0040.png,2,0.2401
image_0041.png,4,0.2566
image_0042.png,3,0.1810
image_0043.png,3,0.4500
image_0044.png,No valid choice,0.1942
image_0045.png,2,0.1433
image_0046.png,1,0.2839
image_0047.png,0,0.3115
image_0048.png,0,0.2607
image_0049.png,3,0.5210
image_0050.png,2,0.4858
image_0051.png,1,0.2351
image_0052.png,2,0.3086
image_0053.png,2,0.7349
image_0054.png,5,0.1719
image_0055.png,2,0.4604
image_0056.png,3,0.2125
image_0057.png,No valid choice,0.1765
image_0058.png,8,0.2583
image_0059.png,2,0.3025
image_0060.png,3,0.3589
image_0061.png,2,0.2805
image_0062.png,2,0.2140
image_0063.png,No valid choice,0.1832
image_0064.png,4,0.2498
image_0065.png,6,0.2654
image_0066.png,4,0.2505
image_0067.png,5,0.3108
image_0068.png,2,0.3003
image_0069.png,4,0.2844
image_0070.png,2,0.2861
image_0071.png,4,0.3657
image_0072.png,3,0.2271
image_0073.png,8,0.3335
image_0074.png,4,0.2471
image_0075.png,0,0.2615
image_0076.png,3,0.3110
image_0077.png,No valid choice,0.2168
image_0078.png,2,0.3655
image_0079.png,0,0.2917
image_0080.png,No valid choice,0.2314
image_0081.png,3,0.2041
image_0082.png,2,0.4341
image_0083.png,2,0.8516
image_0084.png,5,0.1748
image_0085.png,3,0.3679
image_0086.png,0,0.2495
image_0087.png,0,0.2329
image_0088.png,1,0.6641
image_0089.png,3,0.2937
image_0090.png,0,0.2673
image_0091.png,1,0.2625
image_0092.png,0,0.3606
image_0093.png,No valid choice,0.2462
image_0094.png,1,0.2883
image_0095.png,No valid choice,0.2045
image_0096.png,2,0.1405
image_0097.png,2,0.3855
image_0098.png,2,0.2498
image_0099.png,2,0.4121
