image_filename,text_description,button_texts
image_0001.png,,2| |4| |6| |3| |5
image_0002.png,How many small items are there?,2| |3| |1| |5| |4
image_0003.png,How many large red letters are there?,3| |8| |4| |0| |1
image_0004.png,How many small magenta digits are there?,9| |6| |1| |5| |3
image_0005.png,How many small blue shapes are there?,5| |6| |1| |9| |0
image_0006.png,How many triangles are there?,5| |4| |3| |8| |1
image_0007.png,How many large red Fs are there?,9| |1| |3| |4| |0
image_0008.png,How many 3s are there?,0| |9| |4| |2| |1
image_0009.png,How many letters are there?,0| |2| |8| |4| |3
image_0010.png,How many zs are there?,7| |9| |6| |8| |0
image_0011.png,How many magenta circles are there?,1| |9| |8| |5| |4
image_0012.png,How many green 9s are there?,2| |5| |8| |1| |6
image_0013.png,How many red items are there?,8| |7| |3| |0| |6
image_0014.png,How many blue items are there?,8| |4| |1| |2| |5
image_0015.png,How many green circles are there?,0| |2| |7| |1| |3
image_0016.png,How many yellow digits are there?,1| |9| |5| |2| |0
image_0017.png,How many large items are there?,6| |7| |4| |8| |5
image_0018.png,How many large black ss are there?,8| |3| |7| |1| |6
image_0019.png,How many 4s are there?,5| |0| |9| |7| |1
image_0020.png,How many magenta items are there?,4| |6| |0| |7| |1
image_0021.png,How many small red items are there?,3| |1| |5| |0| |9
image_0022.png,How many blue letters are there?,5| |7| |0| |1| |3
image_0023.png,How many letters are there?,7| |5| |6| |3| |1
image_0024.png,How many large yellow Ts are there?,1| |0| |8| |5| |2
image_0025.png,How many shapes are there?,1| |0| |5| |6| |2
image_0026.png,How many Fs are there?,8| |7| |6| |5| |1
image_0027.png,How many 4s are there?,1| |4| |6| |8| |7
image_0028.png,How many aqua 8s are there?,1| |3| |8| |9| |0
image_0029.png,How many blue rectangles are there?,4| |3| |7| |6| |0
image_0030.png,How many small magenta digits are there?,3| |1| |7| |9| |2
image_0031.png,How many large red items are there?,5| |3| |0| |8| |2
image_0032.png,How many as are there?,3| |8| |5| |1| |6
image_0033.png,How many yellow items are there?,1| |5| |6| |0| |9
image_0034.png,How many small aqua triangles are there?,3| |8| |1| |2| |7
image_0035.png,How many green circles are there?,4| |0| |5| |8| |3
image_0036.png,How many large blue 2s are there?,5| |7| |1| |0| |3
image_0037.png,How many large letters are there?,2| |6| |9| |5| |0
image_0038.png,How many black letters are there?,9| |8| |1| |3| |5
image_0039.png,How many small items are there?,6| |3| |7| |8| |2
image_0040.png,How many large blue triangles are there?,7| |5| |1| |2| |3
image_0041.png,How many small digits are there?,5| |1| |0| |4| |9
image_0042.png,How many Fs are there?,8| |1| |3| |7| |6
image_0043.png,How many large items are there?,0| |3| |6| |7| |4
image_0044.png,How many small triangles are there?,2| |7| |6| |0| |1
image_0045.png,How many blue letters are there?,1| |3| |8| |2| |0
image_0046.png,How many large items are there?,9| |1| |5| |8| |7
image_0047.png,How many letters are there?,2| |9| |0| |6| |4
image_0048.png,How many small green digits are there?,0| |4| |7| |1| |8
image_0049.png,How many small items are there?,4| |3| |5| |1| |7
image_0050.png,How many small black items are there?,4| |2| |9| |3| |7
image_0051.png,How many circles are there?,8| |5| |1| |6| |4
