image_filename,text_description,button_texts
image_0001.png,,6| |2| |0| |5| |7
image_0002.png,How many red ls are there?,5| |7| |0| |1| |4
image_0003.png,How many red letters are there?,8| |7| |1| |4| |9
image_0004.png,How many large black items are there?,1| |9| |6| |2| |3
image_0005.png,How many shapes are there?,5| |4| |8| |7| |1
image_0006.png,How many aqua items are there?,3| |8| |9| |0| |2
image_0007.png,How many gs are there?,4| |1| |3| |0| |2
image_0008.png,How many shapes are there?,0| |1| |2| |3| |9
image_0009.png,How many small items are there?,4| |9| |3| |2| |7
image_0010.png,How many small black letters are there?,1| |6| |0| |5| |7
image_0011.png,How many red items are there?,6| |7| |2| |4| |1
image_0012.png,How many small red 5s are there?,9| |5| |6| |0| |3
image_0013.png,How many small black items are there?,1| |8| |5| |0| |7
image_0014.png,How many small magenta circles are there?,8| |4| |1| |3| |2
image_0015.png,How many small green 7s are there?,7| |1| |4| |5| |3
image_0016.png,How many small green items are there?,1| |0| |2| |9| |4
image_0017.png,How many large blue items are there?,9| |0| |5| |2| |7
image_0018.png,How many magenta triangles are there?,6| |7| |1| |4| |0
image_0019.png,How many letters are there?,8| |2| |0| |9| |4
image_0020.png,How many letters are there?,9| |6| |5| |1| |0
image_0021.png,How many small red items are there?,6| |3| |0| |7| |1
image_0022.png,How many blue items are there?,4| |2| |3| |8| |0
image_0023.png,How many Os are there?,5| |6| |7| |1| |8
image_0024.png,How many large red items are there?,9| |7| |5| |1| |4
image_0025.png,How many small items are there?,7| |1| |5| |2| |4
image_0026.png,How many Cs are there?,1| |2| |7| |4| |3
image_0027.png,How many Hs are there?,6| |1| |4| |3| |9
image_0028.png,How many black items are there?,6| |4| |8| |9| |1
image_0029.png,How many small circles are there?,2| |3| |0| |8| |1
image_0030.png,How many small shapes are there?,3| |2| |9| |1| |6
image_0031.png,How many green Zs are there?,7| |1| |9| |0| |4
image_0032.png,How many large yellow digits are there?,1| |2| |7| |3| |8
image_0033.png,How many letters are there?,1| |4| |8| |0| |2
image_0034.png,How many small red items are there?,1| |9| |2| |8| |5
image_0035.png,How many yellow letters are there?,5| |2| |0| |3| |9
image_0036.png,How many bs are there?,9| |7| |0| |4| |1
image_0037.png,How many small letters are there?,8| |9| |4| |6| |3
image_0038.png,How many rectangles are there?,2| |3| |7| |5| |1
image_0039.png,How many letters are there?,1| |5| |3| |9| |2
image_0040.png,How many 9s are there?,2| |5| |4| |6| |1
image_0041.png,How many green items are there?,0| |6| |9| |1| |2
image_0042.png,How many magenta As are there?,2| |7| |4| |1| |5
image_0043.png,How many small aqua items are there?,2| |8| |7| |4| |3
image_0044.png,How many large items are there?,5| |7| |3| |6| |0
image_0045.png,How many yellow items are there?,1| |7| |0| |6| |4
image_0046.png,How many Os are there?,8| |9| |7| |1| |6
image_0047.png,How many 7s are there?,9| |0| |4| |7| |2
image_0048.png,How many aqua letters are there?,3| |6| |5| |1| |4
image_0049.png,How many large aqua items are there?,7| |6| |0| |5| |1
image_0050.png,How many small items are there?,3| |1| |6| |9| |7
image_0051.png,How many magenta items are there?,3| |8| |5| |1| |2
image_0052.png,How many large letters are there?,7| |2| |9| |6| |4
image_0053.png,How many 0s are there?,4| |7| |6| |5| |1
image_0054.png,How many Es are there?,0| |9| |7| |5| |3
image_0055.png,How many large aqua items are there?,4| |5| |9| |7| |1
